Year,Month,quart.month,Rain,EP.Harg,EP.PM,P-EP.Harg,P-EP.PM,SPI,SPEI.Harg,SPEI.PM,Categ.SPI,Categ.SPEI.Harg,Categ.SPEI.PM
2009,10,37,26.8,31.9489205158593,29.8020719080911,-5.14892051585935,-3.0020719080911,0.33719653369551,0.282498263919711,0.198308260622931,Normal,Normal,Normal
2009,10,38,26.21,30.3695620500392,26.1796052223563,-4.15956205003924,0.0303947776437283,0.545716334841825,0.597775705393693,0.567853242712635,Normal,Normal,Normal
2009,10,39,41.87,31.310313462086,25.144666411619,10.559686537914,16.725333588381,0.820288105698972,0.821072985102997,0.837742433877717,Normal,Normal,Normal
2009,10,40,24.11,48.6804688444942,44.2695987452884,-24.5704688444942,-20.1595987452884,-0.367832064388198,-0.264649050940771,-0.297299689605413,Normal,Normal,Normal
2009,11,41,16.46,39.1987732051559,39.1421911068783,-22.7387732051559,-22.6821911068783,-0.273305931264595,-0.516432473342714,-0.688684644971679,Normal,Normal,Normal
2009,11,42,30.38,34.7944033507136,32.2677433831297,-4.4144033507136,-1.88774338312966,0.299230990640942,0.248895633268713,0.182567883983738,Normal,Normal,Normal
2009,11,43,33.72,37.1706304320351,33.8200795848157,-3.45063043203508,-0.100079584815703,0.132998238312167,0.0476246197517781,0.0480558739860739,Normal,Normal,Normal
2009,11,44,92.87,39.8079112713991,33.7175821999455,53.0620887286009,59.1524178000545,1.50463126389824,1.75591558468652,1.73611380336459,sev.wet,sev.wet,sev.wet
2009,12,45,100.44,32.0043403434077,23.5126925122394,68.4356596565923,76.9273074877606,2.30414603494588,2.99975144511263,2.76695200864386,ext.wet,ext.wet,ext.wet
2009,12,46,63.07,31.7623960795588,22.3375170709172,31.3076039204412,40.7324829290828,0.756944719769187,0.786628030483345,0.899284654085319,Normal,Normal,Normal
2009,12,47,57.37,34.5561271027925,34.9155594033139,22.8138728972075,22.4544405966861,0.59751638544981,0.51355657214435,0.370092511307827,Normal,Normal,Normal
2009,12,48,97.55,45.7527442703218,39.6844267146448,51.7972557296782,57.8655732853552,1.11444630237437,1.14042975172518,1.13150897582912,mod.wet,mod.wet,mod.wet
2010,1,1,77.06,32.8150603587965,31.7012317232489,44.2449396412035,45.3587682767511,0.605229018815472,0.653869761720691,0.578070521565407,Normal,Normal,Normal
2010,1,2,48.14,30.9462953379958,29.7896118937233,17.1937046620042,18.3503881062767,-0.164026833649538,-0.102881130800107,-0.165998240821784,Normal,Normal,Normal
2010,1,3,115.46,29.9425443183892,26.3734069297971,85.5174556816108,89.0865930702029,1.65490224887557,1.62327836329201,1.57317241685493,sev.wet,sev.wet,sev.wet
2010,1,4,103.16,39.3964565572165,29.4967039766249,63.7635434427835,73.6632960233751,0.819167312665703,0.90518396699177,0.956331028948337,Normal,Normal,Normal
2010,2,5,59.23,34.9342560030663,40.2548152884376,24.2957439969337,18.9751847115624,0.515147565952809,0.353585813753011,0.155452291250728,Normal,Normal,Normal
2010,2,6,13.79,32.2474238330682,34.2181196968324,-18.4574238330682,-20.4281196968324,-0.964976967440554,-0.902619162444036,-0.945892481490012,Normal,Normal,Normal
2010,2,7,36.94,31.9243854588611,27.3430654028024,5.01561454113888,9.59693459719762,0.00905064164639186,-0.137699097128455,-0.0155837964252736,Normal,Normal,Normal
2010,2,8,58.47,28.7333943175357,26.7173024239849,29.7366056824643,31.7526975760151,0.653263477108234,0.641464727835434,0.612638118768461,Normal,Normal,Normal
2010,3,9,28.27,26.3843421429702,21.179085700519,1.88565785702982,7.09091429948101,-0.0608191251975709,0.0368851257311872,0.216279689483349,Normal,Normal,Normal
2010,3,10,21.18,32.4531638189585,34.2246633933939,-11.2731638189585,-13.0446633933939,-0.811424073325916,-0.974369107220791,-0.997891807048383,Normal,Normal,Normal
2010,3,11,14.16,27.4646463221886,28.8351093671804,-13.3046463221886,-14.6751093671804,-1.09155888526788,-1.07093625655675,-1.09351451728644,mod.dry,mod.dry,mod.dry
2010,3,12,66.32,35.5574951503194,37.6474381304759,30.7625048496806,28.6725618695241,0.904059328277823,1.00113015781325,0.955018945777418,Normal,mod.wet,Normal
2010,4,13,85.42,21.0116031665356,16.0665392262013,64.4083968334644,69.3534607737986,2.22875779102804,2.14032028265801,2.19164897922736,ext.wet,ext.wet,ext.wet
2010,4,14,5.88,22.1221471214918,25.3855268466412,-16.2421471214918,-19.5055268466412,-0.402068875674564,-0.344999985479457,-0.43503114225346,Normal,Normal,Normal
2010,4,15,0.01,24.9006476668133,28.8856970285978,-24.8906476668133,-28.8756970285978,-2.12350386351104,-1.31723183205345,-1.26151495687987,ext.dry,mod.dry,mod.dry
2010,4,16,15.65,27.6267768617294,29.421853200902,-11.9767768617294,-13.771853200902,0.424370842796516,0.421913482106477,0.422173347199218,Normal,Normal,Normal
2010,5,17,0.34,22.3480781000035,25.8992094468118,-22.0080781000035,-25.5592094468118,-1.03614843793757,-0.927501108156493,-0.96680617859122,mod.dry,Normal,Normal
